Painting ID,Location,Location Type,Rack,Artist,Title,Height,Width,Depth
2018.23.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 60A",Screen, 60A,Lois Dodd,"View Downtown, 1977",15.24,17.99,
2018.25.2,"Nasher Museum Building, Nasher Painting Storage Room",,,"William Tucker, RA","Parmenides, n.d.",14.02,24.02,14.02
2018.25.3,"External Location (Not located on Nasher Museum premises), Off-Site, Owner's Premises",,,Tony Cragg,"Real Plastic Love, 1984",77.01,32.99,
2018.26.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 22B",Screen, 22B,,"The Mocking of Christ, c. 1625",37.0,48.5,
2018.27.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 39A",Screen, 39A,David Humphrey,"At the Office, 1984",44.02,52.01,1.26
2019.1.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 49A",Screen, 49A,Genevieve Gaignard,"The Quietest Room in the House, 2018",32.24,48.31,
2019.3.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 48B",Screen, 48B,Zanele Muholi,"Zol from Only Half the Picture series, 2002",27.56,20.08,
2019.4.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25A",Screen, 25A,Dave Muller,"Cats and Dogs, 2018",58.5,58.5,1.25
2019.4.1.A,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25A",Screen, 25A,Dave Muller,"Cats and Dogs, 2018",58.5,1.26,
2019.4.1.B,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25A",Screen, 25A,Dave Muller,"Cats and Dogs, 2018",23.5,1.26,
2019.4.1.C,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25A",Screen, 25A,Dave Muller,"Cats and Dogs, 2018",9.61,1.26,
2019.5.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 41B",Screen, 41B,Gordon Parks,"Invisible Man Retreat, Harlem, New York, 1952",30.0,24.02,
2019.11.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 49B",Screen, 49B,Elizabeth Matheson,"Pinecrest, Durham, 2004 (printed 2018)",47.99,47.99,
2019.12.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 49A",Screen, 49A,Titus Brooks Heagins,"Kevin and Desniq from the series Durham Stories: Not Hell But You Can See It From Here!, 2017 (printed 2018)",20.0,30.0,
2019.12.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 49A",Screen, 49A,Titus Brooks Heagins,"Marco and Irma at La Vaquita from the series Durham Stories: Not Hell But You Can See It From Here!, 2008 (printed 2018)",20.0,30.0,
2019.13.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 47B",Screen, 47B,Tom Rankin,"Copiah County, Mississippi, 1990 (printed 2018)",22.0,28.0,
2019.13.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 47B",Screen, 47B,Tom Rankin,"E. T. Wickham Civil War Statue, Palmyra, Tennessee, 1984 (printed 2018)",28.0,22.0,
2019.13.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 47B",Screen, 47B,Tom Rankin,"Covens Reliable Discount Store, Crystal Springs, Mississippi, 1985 (printed 2018)",22.0,28.13,
2019.14.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 49A",Screen, 49A,William Ferris,"The California Club, 310 Silver City Road, Belzoni, Mississippi from the series The South in Color, 1975 (printed 2018)",13.63,19.5,
2019.14.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 49A",Screen, 49A,William Ferris,"Cold Watermelon Vendor, Leland, Mississippi from the series The South in Color, 1976 (printed 2018)",12.86,19.38,
2019.14.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 49A",Screen, 49A,William Ferris,"Edith Clark, Old Port Gibson Road, Reganton, Mississippi from the series The South in Color, 1976 (printed 2018)",13.25,19.38,
2019.16.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 07A",Screen, 07A,Rebecca Lepkoff,"Early Morning, Midtown Manhattan, NYC, 1947, printed 1998",7.01,10.0,
2019.16.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 07A",Screen, 07A,Rebecca Lepkoff,"Under the L, Manhattan, 1947, printed 1998",7.52,7.99,
2019.18.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23A",Screen, 23A,Laurel Nakadate,"November 21, 2010 from the series 365 Days: A Catalogue of Tears, 2011",40.0,50.0,
2019.18.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23A",Screen, 23A,Laurel Nakadate,"November 22, 2010 from the series 365 Days: A Catalogue of Tears, 2011",40.0,50.0,
2019.18.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 22A",Screen, 22A,Laurel Nakadate,"November 23, 2010 from the series 365 Days: A Catalogue of Tears, 2011",40.0,50.0,
2019.18.4,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 22A",Screen, 22A,Laurel Nakadate,"November 24, 2010 from the series 365 Days: A Catalogue of Tears, 2011",40.0,50.0,
2019.18.5,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 22A",Screen, 22A,Laurel Nakadate,"November 25, 2010 from the series 365 Days: A Catalogue of Tears, 2011",40.0,50.0,
2019.18.6,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23A",Screen, 23A,Laurel Nakadate,"November 26, 2010 from the series 365 Days: A Catalogue of Tears, 2011",40.0,50.0,
2019.18.8,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 22A",Screen, 22A,Laurel Nakadate,"November 28, 2010 from the series 365 Days: A Catalogue of Tears, 2011",40.0,50.0,
2019.18.9,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23A",Screen, 23A,Laurel Nakadate,"November 29, 2010 from the series 365 Days: A Catalogue of Tears, 2011",40.0,50.0,
2019.18.10,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 22A",Screen, 22A,Laurel Nakadate,"November 30, 2010 from the series 365 Days: A Catalogue of Tears, 2011",40.0,50.0,
2019.19.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 46B",Screen, 46B,Reed Thomas,"Bird Cage, 1979",21.87,18.37,1.37
2019.19.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 46B",Screen, 46B,Eve Sonneman,"Boat Building, Samos, Greece, 1977",20.87,30.63,1.13
2019.19.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 46B",Screen, 46B,Eve Sonneman,"Moving Hay, Samos, Greece, 1977",20.87,30.63,1.13
2019.20.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 41B",Screen, 41B,Dawoud Bey,"David Hammons, Bliz-aard Ball Sale I, 1983",44.0,33.0,
2019.22.1,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 48",Wall Screen, 48,Mel Chin,"Cross for the Unforgiven, 2002",54.0,54.0,3.0
2019.27.5,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 42B",Screen, 42B,Helen Frankenthaler,"Bay Area Wednesday I, 1982",25.0,30.5,
2019.29.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 19B",Screen, 19B,Charles Emile Jacque,"Tending the Flock, n.d.",47.0,40.5,4.0
2019.29.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 19B",Screen, 19B,Jacob Maris,"Beach Scene, n.d.",42.0,31.0,4.0
2019.31.1,"Nasher Museum Building, Nasher Painting Storage Room",,,Mark Grotjahn,"Untitled (Brown Black and Red Spotted Heavy Texture Mask M16.e), 2012",43.5,16.0,5.25
2020.2.1,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 52",Wall Screen, 52,David Hartt,"Lounge at The Johnson Publishing Company Headquarters, Chicago, Illinois, 2011",48.0,64.0,
2020.3.1,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 54",Wall Screen, 54,Hugo McCloud,"push pull, 2019",55.0,85.0,
2020.4.1,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 51",Wall Screen, 51,Fritz Scholder,"Indian and Storefront, 1974",30.0,40.0,
L.2.1974.77,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63R, Textile Roll 19",Screen, 63R,Fulani peoples,"Cloth, n.d.",54.49,87.01,
