1973.1.854,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Chancay,,"Textile Fragment on a Loom, 1000–1470"
1973.25.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 59A",Kyohei Inukai,,"T.R.F. VI, 1970"
1973.26.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 59A",Kyohei Inukai,,"T.R.F. VII, 1970"
1973.48.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63J, Textile Roll # 18",Mopti peoples,,Tapestry Weave Blanket
1973.80.6,,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 18",Mossi peoples,,Mask
1974.38.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56B",Walter Benoldi,,"Still life, 20th century"
1974.38.4,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Giuseppe Cesetti,,"Horses, 20th century"
1974.38.7,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56B",Roberto Melli,,"Italian Family, 20th century"
1974.38.8,,"Nasher Museum Building, Nasher Painting Storage Room",Sante Monachesi,,"Study, 20th century"
1974.38.11,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Giovanni Stradone,,"Nude, 20th century"
1975.4.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B","Peruvian, Ica Valley, South Coast",,"Burial Mask, 600–400 BCE"
1975.17.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 40A",Maud Florence Gatewood,,"Winter Light, 1973"
1975.20.27,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 26A","Duncan Stuart, American, 1919 - 2001",,"Concentric One, 1959"
1975.20.28,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 41B","Duncan Stuart, American, 1919 - 2001",,"Bicina II, 20th century"
1975.27.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 53A",Joseph H. Cox,,"Inside Out, 1975"
1975.27.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Joseph H. Cox,,"Pier Group II, c. 1975"
1975.38.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 19B","Richard Redgrave, RA",,"Over the Hill to the Village, 19th century"
1975.49.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 11A",Robert Nanteuil,,"Portrait of M. Louis Le Fevre de Caumartin, 17th century"
1975.51.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 27A",John Sloan,,"Roses and Rock, 1918"
1975.53.5,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Peruvian,,"Cloth Fragment, 700–1000 CE"
1975.53.10,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Chancay,,"Textile Fragment (alternating rows of fish, serpent and bird figure), 1000–1470"
1975.53.13,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Chancay,,"Cloth fragment; open cell fringe knit weave, with fringe, red, blue and green., 1000–1470 CE"
1976.4.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Russell W. Arnold,,"Red Step, n.d."
1976.6.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 20A",Henry Ernest Schnakenberg,,"South Beach, Staten Island, 1919"
1976.8.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62F, Textile Roll # 9",Bolivian,,"Manta, c. 1850"
1976.9.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E",Dorothy Mike,,"Two Grey Hills weaving, 20th century"
1976.9.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D",Virginia Leonard,,"Weaving: Tree of Life, 20th century"
1976.9.3,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Navajo,,"Weaving: Wide Ruins, 20th century"
1976.9.4,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63G",Mary Long,,"Weaving: Sand Painting, 20th century"
1976.9.5,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Virginia Leonard,,"Weaving, 20th century"
1976.9.6,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63G",Navajo,,"Weaving: Burnt Water, 20th century"
1976.9.7,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63G",Navajo,,"Weaving, 20th century"
1976.9.8,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63T",Navajo,,"Weaving, 20th century"
1976.9.9,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T","Hopi, or Navajo",,"Weaving, 20th century"
1976.9.10,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63T",Navajo,,"Weaving, 20th century"
1976.9.11,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63G",Navajo,,"Storm pattern weaving, 20th century"
1976.9.12,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63T",Navajo,,"Weaving, c. 1910–1940"
1976.9.13,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63T",Navajo,,"Third Phase chief's blanket, 20th century"
1976.9.14,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Navajo,,"Weaving, 20th century"
1976.9.15,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62N",Navajo,,"Weaving: Crystal Pattern, 20th century"
1976.9.16,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62N",Navajo,,"Weaving, 20th century"
1976.9.17,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62N",Navajo,,"Weaving, 20th century"
1976.9.18,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Navajo,,"Weaving, 20th century"
1976.9.19,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Navajo,,"Weaving, 20th century"
1976.10.1,,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 28, Textile Roll # 24",Flemish,,"Tapestry - woodland scene with forest on right, stream with birds on left.  Green, brown, yellow, foliate border pattern., 16th century–17th century"
1976.21.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Charles Fernando,,"Untitled, mid 20th century"
1976.31.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63F, Textile Roll # 15",Flemish (?),,Tapestry
1976.35.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A","Ellen Wetherald Ahrens, American, 1859 - 1938",,Portrait of Eakin's Sister
1976.36.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23A",George Inness,,"Landscape, Pompton, NJ, 1879"
1976.47.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 27A",John Sloan,,"Mare's Tails, Gloucester Moors, 1915"
1976.63.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25B","Henry Inman
American, 1801 - 1846",,"Portrait of Mrs. Catherine Nicholson Few, 1838"
1976.63.1.B,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25B","Henry Inman
American, 1801 - 1846",,"Portrait of Mrs. Catherine Nicholson Few, 1838"
1976.69.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 60B",George Benjamin Luks,,"Little Mother, late 19th–early 20th Century"
